subjectURI,subjectLabel,subjectNotation,subjectGrade,predicateCURIE,predicateLabel,objectURI,objectLabel,objectNotation,objectGrade,relationshipID
http://asn.jesandco.org/resources/S1041EB8,Compare the inverse relationship between multiplication and division.  ,3-2.8,3,asn:alignTo,Align To,http://asn.jesandco.org/resources/S114343F,Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.,CCSS.Math.Content.1.OA.D.8,1,http://toolkit.asn.desire2learn.com/resources/M9979
http://asn.jesandco.org/resources/S1041EB7,Recall basic multiplication facts through 12 x 12 and the corresponding division facts.  ,3-2.7,3,asn:alignTo,Align To,http://asn.jesandco.org/resources/S114343F,Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.,CCSS.Math.Content.1.OA.D.8,1,http://toolkit.asn.desire2learn.com/resources/M9980
http://asn.jesandco.org/resources/S1041DF6,"Use symbols to represent an unknown quantity in a simple addition, subtraction, or multiplication equation.  ",3-3.3,3,asn:alignTo,Align To,http://asn.jesandco.org/resources/S1143479,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",CCSS.Math.Content.3.OA.A.3,3,http://toolkit.asn.desire2learn.com/resources/M9981
http://asn.jesandco.org/resources/S1041EB7,Recall basic multiplication facts through 12 x 12 and the corresponding division facts.  ,3-2.7,3,asn:alignTo,Align To,http://asn.jesandco.org/resources/S1143478,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each.",CCSS.Math.Content.3.OA.A.2,3,http://toolkit.asn.desire2learn.com/resources/M9982
http://asn.jesandco.org/resources/S1041EB7,Recall basic multiplication facts through 12 x 12 and the corresponding division facts.  ,3-2.7,3,asn:alignTo,Align To,http://asn.jesandco.org/resources/S1143477,"Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each.",CCSS.Math.Content.3.OA.A.1,3,http://toolkit.asn.desire2learn.com/resources/M9983
http://asn.jesandco.org/resources/S1041EB8,Compare the inverse relationship between multiplication and division.  ,3-2.8,3,asn:alignTo,Align To,http://asn.jesandco.org/resources/S114347D,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.",CCSS.Math.Content.3.OA.C.7,3,http://toolkit.asn.desire2learn.com/resources/M9984
http://asn.jesandco.org/resources/S1041EB7,Recall basic multiplication facts through 12 x 12 and the corresponding division facts.  ,3-2.7,3,asn:alignTo,Align To,http://asn.jesandco.org/resources/S114347D,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.",CCSS.Math.Content.3.OA.C.7,3,http://toolkit.asn.desire2learn.com/resources/M9985
http://asn.jesandco.org/resources/S1041EB8,Compare the inverse relationship between multiplication and division.  ,3-2.8,3,asn:alignTo,Align To,http://asn.jesandco.org/resources/S114347C,Understand division as an unknown-factor problem.,CCSS.Math.Content.3.OA.B.6,3,http://toolkit.asn.desire2learn.com/resources/M9986
http://asn.jesandco.org/resources/S1041EBB,Use basic number combinations to compute related multiplication problems that involve multiples of 10. ,3-2.11,3,asn:alignTo,Align To,http://asn.jesandco.org/resources/S1143482,"Multiply one-digit whole numbers by multiples of 10 in the range 10—90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations.",CCSS.Math.Content.3.NBT.A.3,3,http://toolkit.asn.desire2learn.com/resources/M9987
http://asn.jesandco.org/resources/S1041EB3,Apply an algorithm to add and subtract whole numbers fluently.  ,3-2.3,3,asn:alignTo,Align To,http://asn.jesandco.org/resources/S1143481,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.",CCSS.Math.Content.3.NBT.A.2,3,http://toolkit.asn.desire2learn.com/resources/M9988
